id,text
1,tse hoo tsuan se kai bing pang kah tik lin khuann tsai kan lai u put li e ing hiong
2,ing am gua tsiah kah li lian look
3,ah beh siann poo
4,si sit giam poo soo
5,a sui kah moo a pai thok li the i tshing ka
6,an ne lah
7,lin kiam bo kong iau u si ge jit tsiu tsiu kua e si kau ma gua ka lin kong giah bak khuann hng i king sik thang kua lah
8,a san a paa me kue ah
9,kiam piann tsiah kah khonn khonn kio
10,sann siun siu oo ho kin khi khun
11,ti hiah khuann e lang iah si sam sam goo ngoo tshinn tshinn tsng tsng
12,honnh lai lai lai than sio tsiah than sio tsiah
13,i tsing li tai gi su lui tsong si tse si tua kang ting ma su iau siong se e kui ue
14,li tsit e ho me neh
15,tui pu tin lai kong tse tai piau i kiong ngeh tui khong bi kok kah au tsiu tit tioh sing li
16,thing loh lai e si sim lai kam u buan tsiok e kam kak sing khu na kiann liau siunn kin
17,hong bun a
18,oo tok bai si tsiann ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khia oo too bai e
19,kah hit tsam pi tsit tsun jit tsi ke lua hing hok le
20,ling gua pun sit giam tshai iong kan ua e su lui kan tang hun tua lui tong su mia su hing iong su ting ting
21,lau hiann ti ah pua lo t puan loh khi ah li m thang tua sue siannh
22,m na si lan hian tai tai gi lang oh thak lian theh lai kai e pian tsiah ma hue hue tsit tsiong iong ji huat siunn kue i guat sit tsai put kho tshu
23,hainnh gin a lang u hinn bo tshui m ho oo pe mng
24,in na si tong suan ma eh pin iau kiu sit hian sing lok tui king tshat kai kik lai kong tse i king si tsit e sing li
25,lan hun sann tsiong tsing hing lai tho lun
26,lip khi
27,li sing kiann shut khi tan ke ting a
28,u i guan ah si u kho ling ti li khong it liok ni tsham suan tsong thong e kiong ho tong jin su
29,li kam u ing thang ka gua tau siau kai tsit e lai khi siong su si e e a si to tsit siang
30,gua hoo li long bue lah
31,tiann tiann lohk lok khi tshan te
32,u lang ti leh bo u lang ti leh bo ah
